['gunfire.n.01.gunfire', 'gunfire.n.01.gunshot']
['skeet.n.01.skeet', 'skeet.n.01.skeet_shooting']
['skeet.n.01.skeet', 'skeet.n.01.trapshooting']
['skeet.n.01.skeet_shooting', 'skeet.n.01.trapshooting']
['gunfight.n.01.gunfight', 'gunfight.n.01.gunplay']
['gunfight.n.01.gunfight', 'gunfight.n.01.shootout']
['gunfight.n.01.gunplay', 'gunfight.n.01.shootout']
['rub.n.02.rub', 'rub.n.02.wipe']
['tap.n.08.tap', 'tap.n.08.pat']
['tap.n.08.tap', 'tap.n.08.dab']
['tap.n.08.pat', 'tap.n.08.dab']
['hit.n.02.hit', 'hit.n.02.hitting']
['hit.n.02.hit', 'hit.n.02.striking']
['hit.n.02.hitting', 'hit.n.02.striking']
['crash.n.04.crash', 'crash.n.04.smash']
['impingement.n.02.impingement', 'impingement.n.02.impaction']
['base_on_balls.n.01.walk', 'base_on_balls.n.01.pass']
['grounder.n.01.grounder', 'grounder.n.01.groundball']
['grounder.n.01.grounder', 'grounder.n.01.hopper']
['grounder.n.01.groundball', 'grounder.n.01.hopper']
['chop.n.05.chop', 'chop.n.05.chopper']
['scorcher.n.02.scorcher', 'scorcher.n.02.screamer']
['single.n.01.single', 'single.n.01.bingle']
['knock.n.05.knock', 'knock.n.05.belt']
['knock.n.05.knock', 'knock.n.05.rap']
['knock.n.05.knock', 'knock.n.05.whack']
['knock.n.05.belt', 'knock.n.05.rap']
['knock.n.05.belt', 'knock.n.05.whack']
['knock.n.05.rap', 'knock.n.05.whack']
['smack.n.06.smack', 'smack.n.06.smacking']
['smack.n.06.smack', 'smack.n.06.slap']
['smack.n.06.smacking', 'smack.n.06.slap']
['knockout.n.02.knockout', 'knockout.n.02.KO']
['knockout.n.02.knockout', 'knockout.n.02.kayo']
['knockout.n.02.KO', 'knockout.n.02.kayo']
['whip.n.05.whip', 'whip.n.05.lash']
['whip.n.05.whip', 'whip.n.05.whiplash']
['whip.n.05.lash', 'whip.n.05.whiplash']
['punch.n.01.punch', 'punch.n.01.clout']
['punch.n.01.punch', 'punch.n.01.poke']
['punch.n.01.punch', 'punch.n.01.lick']
['punch.n.01.punch', 'punch.n.01.biff']
['punch.n.01.punch', 'punch.n.01.slug']
['punch.n.01.clout', 'punch.n.01.poke']
['punch.n.01.clout', 'punch.n.01.lick']
['punch.n.01.clout', 'punch.n.01.biff']
['punch.n.01.clout', 'punch.n.01.slug']
['punch.n.01.poke', 'punch.n.01.lick']
['punch.n.01.poke', 'punch.n.01.biff']
['punch.n.01.poke', 'punch.n.01.slug']
['punch.n.01.lick', 'punch.n.01.biff']
['punch.n.01.lick', 'punch.n.01.slug']
['punch.n.01.biff', 'punch.n.01.slug']
['dig.n.05.dig', 'dig.n.05.jab']
['counterpunch.n.01.counterpunch', 'counterpunch.n.01.parry']
['counterpunch.n.01.counterpunch', 'counterpunch.n.01.counter']
['counterpunch.n.01.parry', 'counterpunch.n.01.counter']
